iter	Passed	Remaining
516	664	620
517	665	618
518	666	617
519	667	615
520	668	614
521	668	612
522	669	610
523	670	609
524	671	607
525	672	606
526	673	604
527	674	603
528	675	601
529	676	599
530	677	598
531	678	596
532	679	595
533	680	593
534	681	591
535	681	590
536	682	588
537	683	586
538	684	585
539	685	583
540	686	582
541	687	580
542	688	579
543	688	577
544	689	575
545	690	574
546	691	572
547	692	571
548	693	569
549	694	568
550	695	566
551	696	564
552	696	563
553	697	561
554	698	560
555	699	558
556	700	557
557	701	555
558	703	554
559	704	553
560	706	552
561	707	551
562	708	550
563	709	548
564	711	547
565	712	546
566	713	544
567	714	543
568	715	542
569	716	540
570	717	539
571	718	537
572	720	536
573	721	535
574	722	533
575	723	532
576	724	531
577	726	530
578	728	529
579	729	528
580	730	526
581	731	525
582	732	524
583	733	522
584	734	521
585	735	519
586	736	518
587	737	516
588	738	515
589	740	514
590	741	513
591	742	511
592	744	510
593	745	509
594	746	508
595	747	506
596	749	505
597	750	504
598	750	502
599	751	501
600	752	499
601	753	498
602	754	496
603	755	495
604	756	494
605	757	492
606	758	491
607	759	489
608	760	488
609	761	486
610	762	485
611	762	483
612	763	482
613	764	480
614	765	479
615	766	477
616	767	476
617	768	474
618	768	473
619	769	471
620	770	470
621	771	468
622	772	467
623	773	465
624	774	464
625	775	463
626	775	461
627	776	459
628	777	458
629	778	456
630	778	455
631	779	454
632	780	452
633	781	451
634	782	449
635	783	448
636	784	446
637	784	445
638	785	443
639	786	442
640	787	441
641	788	439
642	789	438
643	790	437
644	791	435
645	793	434
646	794	433
647	795	432
648	796	430
649	797	429
650	798	427
651	799	426
652	800	425
653	801	423
654	802	422
655	803	421
656	804	420
657	805	418
658	806	417
659	807	416
660	808	414
661	809	413
662	810	411
663	811	410
664	812	409
665	813	408
666	814	406
667	815	405
668	816	404
669	817	402
670	819	401
671	820	400
672	821	399
673	822	397
674	823	396
675	825	395
676	826	394
677	828	393
678	829	392
679	830	390
680	831	389
681	832	388
682	833	386
683	834	385
684	835	384
685	836	382
686	837	381
687	838	380
688	839	378
689	840	377
690	841	376
691	842	374
692	842	373
693	843	372
694	844	370
695	845	369
696	846	367
697	847	366
698	848	365
699	849	363
700	850	362
701	850	361
702	851	359
703	852	358
704	853	357
705	854	355
706	855	354
707	855	353
708	856	351
709	857	350
710	858	348
711	859	347
712	860	346
713	861	344
714	862	343
715	862	342
716	863	340
717	864	339
718	865	338
719	866	337
720	867	335
721	868	334
722	869	333
723	870	331
724	871	330
725	872	329
726	873	328
727	874	326
728	875	325
729	876	324
730	877	323
731	879	321
732	880	320
733	881	319
734	882	318
735	883	316
736	884	315
737	885	314
738	886	313
739	887	311
740	888	310
741	889	309
742	890	307
743	891	306
744	892	305
745	893	304
746	894	303
747	895	301
748	896	300
749	897	299
750	898	297
751	899	296
752	900	295
753	901	294
754	902	292
755	903	291
756	904	290
757	905	289
758	906	287
759	907	286
760	908	285
761	909	284
762	910	282
763	911	281
764	912	280
765	913	279
766	914	277
767	915	276
768	916	275
769	917	273
770	917	272
771	918	271
772	919	270
773	920	268
774	921	267
775	922	266
776	923	265
777	925	263
778	925	262
779	926	261
780	927	260
781	928	258
782	929	257
783	929	256
784	930	254
785	931	253
786	932	252
787	933	251
788	934	249
789	935	248
790	936	247
791	937	246
792	938	244
793	939	243
794	940	242
795	941	241
796	942	240
797	943	238
798	944	237
799	945	236
800	946	235
801	947	233
802	948	232
803	949	231
804	950	230
805	951	228
806	952	227
807	953	226
808	954	225
809	955	224
810	957	223
811	958	221
812	959	220
813	961	219
814	962	218
815	963	217
816	965	216
817	965	214
818	966	213
819	967	212
820	968	211
821	970	210
822	971	208
823	972	207
824	973	206
825	974	205
826	975	204
827	977	202
828	978	201
829	979	200
830	980	199
831	981	198
832	982	196
833	983	195
834	984	194
835	985	193
836	986	192
837	987	190
838	988	189
839	989	188
840	990	187
841	991	186
842	993	184
843	994	183
844	995	182
845	996	181
846	997	180
847	998	179
848	999	177
849	1000	176
850	1001	175
851	1002	174
852	1003	172
853	1004	171
854	1005	170
855	1006	169
856	1007	168
857	1009	166
858	1010	165
859	1011	164
860	1012	163
861	1012	162
862	1013	160
863	1014	159
864	1015	158
865	1016	157
866	1018	156
867	1019	154
868	1020	153
869	1021	152
870	1021	151
871	1022	150
872	1023	148
873	1024	147
874	1025	146
875	1026	145
876	1027	144
877	1028	142
878	1028	141
879	1029	140
880	1030	139
881	1031	138
882	1032	136
883	1033	135
884	1034	134
885	1035	133
886	1036	131
887	1037	130
888	1037	129
889	1038	128
890	1039	127
891	1040	125
892	1041	124
893	1042	123
894	1043	122
895	1044	121
896	1045	120
897	1045	118
898	1046	117
899	1047	116
900	1048	115
901	1049	113
902	1050	112
903	1051	111
904	1052	110
905	1052	109
906	1053	108
907	1054	106
908	1055	105
909	1056	104
910	1057	103
911	1058	102
912	1058	100
913	1059	99
914	1060	98
915	1061	97
916	1062	96
917	1063	94
918	1064	93
919	1065	92
920	1065	91
921	1066	90
922	1067	89
923	1068	87
924	1069	86
925	1070	85
926	1071	84
927	1071	83
928	1072	81
929	1073	80
930	1074	79
931	1075	78
932	1076	77
933	1077	76
934	1077	74
935	1078	73
936	1079	72
937	1080	71
938	1081	70
939	1082	69
940	1083	67
941	1084	66
942	1085	65
943	1086	64
944	1087	63
945	1088	62
946	1089	60
947	1090	59
948	1090	58
949	1091	57
950	1092	56
951	1094	55
952	1095	54
953	1096	52
954	1097	51
955	1098	50
956	1099	49
957	1100	48
958	1101	47
959	1102	45
960	1103	44
961	1104	43
962	1105	42
963	1106	41
964	1107	40
965	1108	39
966	1109	37
967	1110	36
968	1111	35
969	1113	34
970	1114	33
971	1115	32
972	1116	30
973	1117	29
974	1118	28
975	1119	27
976	1120	26
977	1121	25
978	1122	24
979	1123	22
980	1124	21
981	1125	20
982	1126	19
983	1127	18
984	1128	17
985	1129	16
986	1130	14
987	1131	13
988	1132	12
989	1133	11
990	1134	10
991	1135	9
992	1136	8
993	1137	6
994	1138	5
995	1139	4
996	1139	3
997	1140	2
998	1141	1
999	1142	0
